product_id,name,category,brand,price,rating,description,views
1,Levi's Jackets Item 1,Jackets,Levi's,2143.96,4.1,Warm and durable jacket made with premium materials.,0
2,Raymond Shirts Item 2,Shirts,Raymond,2753.56,4.7,Formal slim-fit shirt ideal for office meetings and interviews.,0
3,boAt Electronics Item 3,Electronics,boAt,3859.41,4.1,High-quality electronic gadget with long battery life.,1
4,U.S. Polo Accessories Item 4,Accessories,U.S. Polo,1263.47,4.8,Trendy and fashionable accessory for daily use.,0
5,boAt Electronics Item 5,Electronics,boAt,3103.05,3.9,High-quality electronic gadget with long battery life.,0
6,Max Dresses Item 6,Dresses,Max,4914.84,4.8,Floral casual dress perfect for summer outings.,0
7,U.S. Polo Accessories Item 7,Accessories,U.S. Polo,4033.81,4.7,Trendy and fashionable accessory for daily use.,0
8,VIP Bags Item 8,Bags,VIP,4267.38,4.2,Spacious and water-resistant backpack with laptop compartment.,0
9,JBL Electronics Item 9,Electronics,JBL,3650.78,4.7,High-quality electronic gadget with long battery life.,0
10,Puma Shoes Item 10,Shoes,Puma,4238.04,4.9,Comfortable and stylish shoes perfect for daily wear and jogging.,0
11,Max Dresses Item 11,Dresses,Max,3768.9,4.9,Floral casual dress perfect for summer outings.,0
12,Soch Kurtas Item 12,Kurtas,Soch,908.0,3.6,Traditional kurta suitable for festivals and special occasions.,0
13,American Tourister Bags Item 13,Bags,American Tourister,980.14,4.6,Spacious and water-resistant backpack with laptop compartment.,0
14,Puma Sweatshirts Item 14,Sweatshirts,Puma,2319.31,4.2,Cozy sweatshirt ideal for winter and travel.,0
15,Safari Bags Item 15,Bags,Safari,1108.95,4.3,Spacious and water-resistant backpack with laptop compartment.,0
16,Timex Watches Item 16,Watches,Timex,4507.67,4.5,Elegant watch with durable strap and water resistance.,0
17,Van Heusen Shirts Item 17,Shirts,Van Heusen,2893.65,3.6,Formal slim-fit shirt ideal for office meetings and interviews.,0
18,H&M Jackets Item 18,Jackets,H&M,4158.08,3.8,Warm and durable jacket made with premium materials.,0
19,Van Heusen Shirts Item 19,Shirts,Van Heusen,4743.12,3.7,Formal slim-fit shirt ideal for office meetings and interviews.,0
20,H&M Dresses Item 20,Dresses,H&M,4411.34,4.4,Floral casual dress perfect for summer outings.,0
21,Fabindia Kurtas Item 21,Kurtas,Fabindia,2411.32,4.8,Traditional kurta suitable for festivals and special occasions.,0
22,Manyavar Kurtas Item 22,Kurtas,Manyavar,4229.58,4.6,Traditional kurta suitable for festivals and special occasions.,0
